Scouter Name,Event,Match Level,Match #,Robot,Team #,Cycle Number,Cycle Time,Cycle Type
ap,2025nytr,qm,27,r2,6911,2,8.5,tc4
JP,2025nytr,qm,28,r1,10352,0,38.1,tc1
JP,2025nytr,qm,28,r1,10352,1,11.9,tc2
JP,2025nytr,qm,28,r1,10352,2,17.7,tc1
ay,2025nytr,qm,28,b1,1468,0,92.9,tan
ay,2025nytr,qm,28,b1,1468,1,12.4,tc4
ay,2025nytr,qm,28,b1,1468,2,6.3,tc4
ay,2025nytr,qm,28,b1,1468,3,10,tc4
ay,2025nytr,qm,28,b1,1468,4,9.4,tc3
ay,2025nytr,qm,28,b1,1468,5,8.4,tc3
ay,2025nytr,qm,28,b1,1468,6,12.8,tc2
ay,2025nytr,qm,28,b1,1468,7,14,tc2
ap,2025nytr,qm,28,r2,20,0,5.7,tc4
ap,2025nytr,qm,28,r2,20,1,13.3,tc4
ap,2025nytr,qm,28,r2,20,2,13.7,tc4
ap,2025nytr,qm,28,r2,20,3,12.4,tc4
ap,2025nytr,qm,28,r2,20,4,14.1,tc4
ap,2025nytr,qm,28,r2,20,5,7.3,tc4
ap,2025nytr,qm,28,r2,20,6,10.5,tc3
ap,2025nytr,qm,28,r2,20,7,0.6,tc4
ap,2025nytr,qm,28,r2,20,8,8.3,tc4
ap,2025nytr,qm,28,r2,20,9,19.9,tc3
ap,2025nytr,qm,28,r2,20,10,9.8,tc3
ay,2025nytr,qm,29,b1,8067,0,5.9,tc4
ay,2025nytr,qm,29,b1,8067,1,59.7,tc4
df,2025nytr,qm,29,b2,2869,0,17.6,tc4
df,2025nytr,qm,29,b2,2869,1,8.5,tc4
df,2025nytr,qm,29,b2,2869,2,33.6,tc4
df,2025nytr,qm,29,b2,2869,3,8.5,tc4
df,2025nytr,qm,29,b2,2869,4,7.7,tc3
df,2025nytr,qm,29,b2,2869,5,19.1,tc3
df,2025nytr,qm,29,b2,2869,6,7.4,tc3
df,2025nytr,qm,28,b2,5881,0,5.7,tc2
df,2025nytr,qm,28,b2,5881,1,43,tc2
df,2025nytr,qm,28,b2,5881,2,9.9,tc2
df,2025nytr,qm,28,b2,5881,3,8.3,tc3
df,2025nytr,qm,28,b2,5881,4,25.6,tc1
df,2025nytr,qm,28,b2,5881,5,13.4,tc1
df,2025nytr,qm,28,b2,5881,6,6,tc1
df,2025nytr,qm,28,b2,5881,7,9.8,tc2
Jp,2025nytr,qm,29,b3,4571,0,52.8,tan
J,2025nytr,qm,29,r3,358,0,12.6,tc4
J,2025nytr,qm,29,r3,358,1,24.8,tc4
J,2025nytr,qm,29,r3,358,2,11.3,tc4
J,2025nytr,qm,29,r3,358,3,11.3,tc4
J,2025nytr,qm,29,r3,358,4,19,tc4
J,2025nytr,qm,29,r3,358,5,22.4,tc3
J,2025nytr,qm,29,r3,358,6,12.8,tc3
J,2025nytr,qm,29,r3,358,7,11.6,tc3
JP,2025nytr,qm,29,r1,9624,0,18.2,tc4
JP,2025nytr,qm,29,r1,9624,1,12.7,tc4
JP,2025nytr,qm,29,r1,9624,2,24.1,tc1
JP,2025nytr,qm,29,r1,9624,3,14.6,tc4
JP,2025nytr,qm,29,r1,9624,4,22.4,tc4
JP,2025nytr,qm,29,r1,9624,5,16.5,tc3
JP,2025nytr,qm,29,r1,9624,6,12.4,tc3
ap,2025nytr,qm,29,r2,7718,0,2.8,tc4
ap,2025nytr,qm,29,r2,7718,1,82.3,tc2
Jp,2025nytr,qm,30,b3,2601,0,,{}
J,2025nytr,qm,30,r3,6300,0,7.1,tc2
J,2025nytr,qm,30,r3,6300,1,14.2,tc2
J,2025nytr,qm,30,r3,6300,2,34.1,tc4
J,2025nytr,qm,30,r3,6300,3,23.1,tc4
J,2025nytr,qm,30,r3,6300,4,29.3,tc2
JP,2025nytr,qm,30,r1,6401,0,11.8,tc2
JP,2025nytr,qm,30,r1,6401,1,17.4,tc2
JP,2025nytr,qm,30,r1,6401,2,58.2,tc3
JP,2025nytr,qm,30,r1,6401,3,17.4,tc2
JP,2025nytr,qm,30,r1,6401,4,11.1,tc2
JP,2025nytr,qm,30,r1,6401,5,14.4,tc4
df,2025nytr,qm,30,b2,3181,0,11.5,tc4
ap,2025nytr,qm,30,r2,3003,0,4.1,tc4
ap,2025nytr,qm,30,r2,3003,1,9.3,tc4
ap,2025nytr,qm,30,r2,3003,2,10,tc4
ap,2025nytr,qm,30,r2,3003,3,10.2,tc4
ap,2025nytr,qm,30,r2,3003,4,11.4,tc4
ap,2025nytr,qm,30,r2,3003,5,13.4,tc4
ap,2025nytr,qm,30,r2,3003,6,28.1,tc4
ap,2025nytr,qm,30,r2,3003,7,20.3,tc4
AL,2025nytr,qm,31,r2,229,0,,{}
Eg,2025nytr,qm,31,b3,7605,0,16.2,tc4
Eg,2025nytr,qm,31,b3,7605,1,11.8,tc4
Eg,2025nytr,qm,31,b3,7605,2,14.7,tc3
Eg,2025nytr,qm,31,b3,7605,3,12.1,tc3
Eg,2025nytr,qm,31,b3,7605,4,37.4,tc2
DD,2025nytr,qm,31,b2,2875,0,4.2,tc4
DD,2025nytr,qm,31,b2,2875,1,18.9,tc4
DD,2025nytr,qm,31,b2,2875,2,12.8,tap
DD,2025nytr,qm,31,b2,2875,3,26,tc3
DD,2025nytr,qm,31,b2,2875,4,16.5,tc2
DD,2025nytr,qm,31,b2,2875,5,33.8,tan
DD,2025nytr,qm,31,b2,2875,6,21.5,tc3
Ak,2025nytr,qm,31,r1,3044,0,8.9,tc4
Ak,2025nytr,qm,31,r1,3044,1,6.7,tc4
Ak,2025nytr,qm,31,r1,3044,2,6.2,tc4
Ak,2025nytr,qm,31,r1,3044,3,7.7,tc4
Ak,2025nytr,qm,31,r1,3044,4,7.5,tc4
Ak,2025nytr,qm,31,r1,3044,5,10.7,tc3
Ak,2025nytr,qm,31,r1,3044,6,8.8,tc3
