Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Coral Level 4,Auto Coral Level 3,Auto Coral Level 2,Auto Coral Level 1,Auto Coral Miss,Auto Algae Processor,Auto Algae Net,Auto Algae Remove From Reef,Leave,Cycle Timer,Cycle Type,Teleop Coral Level 4,Teleop Coral Level 3,Teleop Coral Level 2,Teleop Coral Level 1,Teleop Coral Miss,Teleop Algae Processor,Teleop Algae Net,Teleop Algae Miss,Teleop Algae Removed From Reef,Pickup From Floor,Pickup From Coral Station,Endgame State,Played Defense,Was Defended,Died,Tippy,Yellow Card,Red Card,Egregiously Bad Event,Comment
ap,2025nytr,qm,6,r3,5149,0,0,0,0,0,0,0,0,1,"36.8,36.4,33.4","tc2,tc2,tc3",0,1,2,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0
a,2025nytr,qm,7,b3,7030,0,0,0,0,0,0,0,0,1,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df,2025nytr,qm,7,b2,6806,0,0,0,0,0,0,0,0,1,"30.9,24.7,28.5,24.8","tc2,tc2,tc2,tc3",0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ak,2025nytr,qm,7,r2,2791,1,0,0,0,0,0,0,0,1,"24.6,11.3,13.5,11,24,10.9,19.8,60.3","tc4,tc4,tc4,tc3,tc3,tc3,tc3,tc3",3,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jp,2025nytr,qm,7,b1,4571,0,0,0,0,0,0,0,0,0,"17.6,5.6,24.9","tap,tap,tc4",1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,Wires for the elevator snapped off 
ap,2025nytr,qm,7,r3,3181,0,0,0,0,0,0,0,0,1,"5.2,14.3,28.1","tc4,tap,tap",1,0,0,0,2,2,0,2,6,0,1,0,0,0,0,0,0,0,0
J,2025nytr,qm,7,r1,5881,0,0,0,1,0,0,0,0,1,"11.4,9.6,6,11.6,9.7,8.8,41.8,8.3,15.6","tc2,tc2,tc2,tc2,tc2,tc2,tc2,tc2,tc1",0,0,8,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Jp,2025nytr,qm,8,b1,3360,0,0,0,0,0,0,0,0,0,"73.9,16.8,34.2","tap,tap,tap",0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,1,0,0,0,Looked like they were drunk driving. Did not know what they were doing or where to go 
df,2025nytr,qm,8,b2,3003,0,0,0,0,0,0,0,0,1,"2,8.2,24.7,18.4,26.2,21.5","tc4,tc4,tc4,tc4,tc4,tc4",6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,they kept going up to the l4 but then went down and slammed back into the coral station and went and scored 
ap,2025nytr,qm,8,r3,10352,0,0,0,0,0,0,0,0,1,"40.9,58.5","tc1,tc1",0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ak,2025nytr,qm,8,r2,1493,3,0,0,0,0,0,0,0,1,"8.4,17.9,9.3,9.5,5.7,8,9.1,13,16.2,5.7,17.1,12.8","tc4,tc4,tc4,tc3,tc3,tc3,tc3,tc4,tc3,tc3,tc4,tc4",6,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
J,2025nytr,qm,8,r1,2875,1,0,0,0,1,0,0,0,1,"32.1,58.1,10.5,29","tan,tc4,tan,tc4",2,0,0,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0
a,2025nytr,qm,8,b3,334,0,0,0,0,0,0,0,0,1,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jp,2025nytr,qm,9,b1,2601,0,0,0,0,0,0,0,0,0,"65.6,7.6,7","tc4,tc4,tc4",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No auto align so they just kept on missing 
df,2025nytr,qm,9,b2,578,0,0,0,0,0,0,0,0,0,"31.9,79,12.2","tc4,tc4,tc4",3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
arin,2025nytr,qm,9,b3,6911,0,0,0,0,0,0,0,0,1,,{},0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
ap,2025nytr,qm,9,r3,5528,2,0,0,0,0,0,0,0,1,"35,63.6","tc4,tc3",1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ak,2025nytr,qm,9,r2,2869,0,0,0,0,0,0,0,0,0,"26.1,5.1,7.6,16,13.5,22,8.5,17.5","tc1,tc4,tc3,tc3,tc4,tc4,tc3,tc1",3,3,0,2,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0
J,2025nytr,qm,9,r1,4122,0,0,0,0,0,0,0,0,1,"16.6,9.6,17.8,15.5,12.4,33.3","tc4,tan,tc4,tan,tan,tc3",2,1,0,0,2,0,3,1,3,0,1,3,0,0,0,0,0,0,0
arin,2025nytr,qm,10,b3,639,0,0,0,0,0,0,0,0,1,"10.5,6,15.7,12.7,11.6,52.4","tap,tap,tc2,tc2,tc2,tap",0,0,3,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0
df,2025nytr,qm,10,b2,7718,0,0,0,0,0,0,0,0,1,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bad driver
Jp,2025nytr,qm,10,b1,424,1,0,0,0,0,0,0,0,0,"17.1,4.3,8.8,21.8,17.7,11.6,22.9,6.9,10.2","tan,tc4,tc4,tc4,tc4,tc3,tc3,tc3,tc3",4,4,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0
