Scouter Name,Event,Match Level,Match #,Robot,Team #,Cycle Number,Cycle Time,Cycle Type
NP,2025ohcl,qm,69,r1,48,1,33,tc4
NP,2025ohcl,qm,69,r1,48,2,8.2,tc4
NP,2025ohcl,qm,69,r1,48,3,13.9,tc3
NP,2025ohcl,qm,69,r1,48,4,21,tc1
NP,2025ohcl,qm,69,r1,48,5,12.8,tc3
NP,2025ohcl,qm,69,r1,48,6,4.5,tc3
ay,2025ohcl,qm,69,r2,9194,0,23.5,tap
ay,2025ohcl,qm,69,r2,9194,1,23.5,tap
ay,2025ohcl,qm,69,r2,9194,2,9.3,tap
ay,2025ohcl,qm,69,r2,9194,3,15.4,tap
ay,2025ohcl,qm,69,r2,9194,4,21.4,tap
ay,2025ohcl,qm,69,r2,9194,5,26.8,tc4
ay,2025ohcl,qm,70,r2,7717,0,54.8,tc2
ay,2025ohcl,qm,70,r2,7717,1,14.3,tc3
ay,2025ohcl,qm,70,r2,7717,2,18.5,tc3
ay,2025ohcl,qm,70,r2,7717,3,16.1,tc3
ay,2025ohcl,qm,70,r2,7717,4,21.1,tc3
RV,2025ohcl,qm,70,r3,3260,0,12.2,tc4
RV,2025ohcl,qm,70,r3,3260,1,12.1,tc4
RV,2025ohcl,qm,70,r3,3260,2,14.5,tc4
RV,2025ohcl,qm,70,r3,3260,3,31.8,tc4
RV,2025ohcl,qm,70,r3,3260,4,15.2,tc4
mf,2025ohcl,qm,70,b1,2252,0,0.1,tc3
mf,2025ohcl,qm,70,b1,2252,1,1.1,tc3
mf,2025ohcl,qm,70,b1,2252,2,6.4,tc3
mf,2025ohcl,qm,70,b1,2252,3,0.7,tc2
mf,2025ohcl,qm,70,b1,2252,4,15.4,tc2
mf,2025ohcl,qm,70,b1,2252,5,23.4,tc1
OZ,2025ohcl,qm,70,b3,8222,0,0.1,tc3
OZ,2025ohcl,qm,70,b3,8222,1,29.4,tc2
OZ,2025ohcl,qm,70,b3,8222,2,25.7,tc2
