Scouter Name,Event,Match Level,Match #,Robot,Team #,Cycle Time,Cycle Type
jp,2025nyro,qm,4,r1,3044,35.9,tc4
jp,2025nyro,qm,4,r1,3044,18.4,tc4
jp,2025nyro,qm,4,r1,3044,9.4,tc4
AC,2025nyro,qm,4,b1,2791,,{}
cc,2025nyro,qm,4,b3,3003,14.3,tc4
cc,2025nyro,qm,4,b3,3003,13.7,tc4
cc,2025nyro,qm,4,b3,3003,18.7,tc1
cc,2025nyro,qm,4,b3,3003,11,tc4
cc,2025nyro,qm,4,b3,3003,17.8,tc4
cc,2025nyro,qm,4,b3,3003,8.8,tc4
cc,2025nyro,qm,4,b3,3003,11.5,tan
cc,2025nyro,qm,4,b3,3003,23.6,tc3
ZS,2025nyro,qm,4,r3,3171,2.7,tc4
ZS,2025nyro,qm,4,r3,3171,17.1,tc4
ZS,2025nyro,qm,4,r3,3171,30.4,tc1
jp,2025nyro,qm,5,r1,1591,28,tc4
jp,2025nyro,qm,5,r1,1591,16.9,tc4
jp,2025nyro,qm,5,r1,1591,9.7,tc4
jp,2025nyro,qm,5,r1,1591,12.4,tc4
jp,2025nyro,qm,5,r1,1591,19.6,tc4
jp,2025nyro,qm,5,r1,1591,8.9,tc4
cc,2025nyro,qm,5,b3,1126,26.3,tc1
cc,2025nyro,qm,5,b3,1126,57.9,tc4
cc,2025nyro,qm,5,b3,1126,6.2,tc4
ZS,2025nyro,qm,5,r3,1585,84.2,tc3
ZS,2025nyro,qm,5,r3,1585,28.7,tc3
DD,2025nyro,qm,5,r2,6911,,{}
JS,2025nyro,qm,5,b2,2614,0.1,tc1
JS,2025nyro,qm,5,b2,2614,5.9,tc4
JS,2025nyro,qm,5,b2,2614,9.5,tc3
JS,2025nyro,qm,5,b2,2614,40.5,tc3
JS,2025nyro,qm,5,b2,2614,23.1,tc4
JS,2025nyro,qm,5,b2,2614,32.7,tc4
AC,2025nyro,qm,5,b1,3951,8.1,tap
AC,2025nyro,qm,5,b1,3951,47.8,tan
jp,2025nyro,qm,6,r1,2228,56.8,tap
jp,2025nyro,qm,6,r1,2228,11.9,tan
jp,2025nyro,qm,6,r1,2228,10.2,tan
jp,2025nyro,qm,6,r1,2228,15.2,tan
ZS,2025nyro,qm,6,r3,3015,5.9,tc4
ZS,2025nyro,qm,6,r3,3015,16.3,tc3
ZS,2025nyro,qm,6,r3,3015,23.1,tc3
ZS,2025nyro,qm,6,r3,3015,7.7,tc3
ZS,2025nyro,qm,6,r3,3015,10.9,tc3
ZS,2025nyro,qm,6,r3,3015,5.9,tc3
ZS,2025nyro,qm,6,r3,3015,12.5,tc2
ZS,2025nyro,qm,6,r3,3015,0.5,tc2
ZS,2025nyro,qm,6,r3,3015,3,tc2
ZS,2025nyro,qm,6,r3,3015,9.8,tc2
ZS,2025nyro,qm,6,r3,3015,11.4,tc4
ZS,2025nyro,qm,6,r3,3015,6.4,tc4
JS,2025nyro,qm,6,b2,191,0.1,tc1
JS,2025nyro,qm,6,b2,191,4.1,tc4
JS,2025nyro,qm,6,b2,191,9.3,tc4
JS,2025nyro,qm,6,b2,191,9.1,tap
JS,2025nyro,qm,6,b2,191,9.1,tap
JS,2025nyro,qm,6,b2,191,27.8,tc3
JS,2025nyro,qm,6,b2,191,10.2,tc3
AC,2025nyro,qm,6,b1,9643,9.8,tc1
AC,2025nyro,qm,6,b1,9643,23.8,tc1
cc,2025nyro,qm,6,b3,2252,13.8,tc4
cc,2025nyro,qm,6,b3,2252,5.9,tc4
cc,2025nyro,qm,6,b3,2252,14.9,tap
cc,2025nyro,qm,6,b3,2252,11.9,tc3
cc,2025nyro,qm,6,b3,2252,8.3,tc3
cc,2025nyro,qm,6,b3,2252,8.5,tc3
cc,2025nyro,qm,6,b3,2252,20.2,tc3
cc,2025nyro,qm,6,b3,2252,15.5,tc3
cc,2025nyro,qm,6,b3,2252,39.9,tc1
DD,2025nyro,qm,6,r2,424,0.1,tc2
DD,2025nyro,qm,6,r2,424,0.6,tc1
DD,2025nyro,qm,6,r2,424,2,tc1
DD,2025nyro,qm,6,r2,424,1.1,tan
jp,2025nyro,qm,7,r1,10223,16.8,tc1
jp,2025nyro,qm,7,r1,10223,10.7,tc1
jp,2025nyro,qm,7,r1,10223,14.2,tc1
jp,2025nyro,qm,7,r1,10223,17.8,tc1
jp,2025nyro,qm,7,r1,10223,12,tc1
jp,2025nyro,qm,7,r1,10223,25.8,tc1
CD,2025nyro,qm,7,r2,1787,,{}
ER,2025nyro,qm,7,b1,378,36,tap
ER,2025nyro,qm,7,b1,378,12.7,tc1
ER,2025nyro,qm,7,b1,378,33.9,tc3
ER,2025nyro,qm,7,b1,378,14,tap
ER,2025nyro,qm,7,b1,378,17.3,tc1
RV,2025nyro,qm,7,b2,639,27,tc4
RV,2025nyro,qm,7,b2,639,53.6,tc4
RV,2025nyro,qm,7,b2,639,29,tc4
eg,2025nyro,qm,7,b3,2010,23,tan
eg,2025nyro,qm,7,b3,2010,11.1,tan
eg,2025nyro,qm,7,b3,2010,16.3,tan
eg,2025nyro,qm,7,b3,2010,19.7,tan
eg,2025nyro,qm,7,b3,2010,16.8,tc4
ZS,2025nyro,qm,7,r3,3838,10.9,tc4
ZS,2025nyro,qm,7,r3,3838,13.8,tc4
ZS,2025nyro,qm,7,r3,3838,22.4,tc4
CD,2025nyro,qm,8,r2,3799,12.2,tc1
jp,2025nyro,qm,8,r1,229,,{}
eg,2025nyro,qm,8,b3,5590,101.9,tc4
RV,2025nyro,qm,8,b2,564,,{}
" ""ZS",2025nyro,qm,8,r3,8393,24.2,tc3
