Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Coral Level 4,Auto Coral Level 3,Auto Coral Level 2,Auto Coral Level 1,Auto Algae Processor,Auto Algae Net,Leave,Cycle Timer,Cycle Type,Teleop Coral Level 4,Teleop Coral Level 3,Teleop Coral Level 2,Teleop Coral Level 1,Teleop Algae Processor,Teleop Algae Net,Teleop Algae Removed From Reef,Pickup From Floor,Pickup From Coral Station,Endgame State,Played Defense,Was Defended,Died,Tippy,Yellow Card,Red Card,Egregiously Bad Event,Comment
ER,2025nyro,qm,8,b1,6868,0,0,0,0,0,0,1,"0.1,34.9,52.5,19.9","tc4,tap,tc4,tc4",3,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0
eg,2025nyro,qm,9,b3,7165,0,0,0,0,0,0,1,"19,7.9,85.8,14.6","tc3,tc3,tc2,tc1",0,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0
np,2025nyro,qm,9,r3,578,0,0,0,0,0,0,1,"46.5,5.3,14.3,14.4,9.2,7,10.8","tc4,tc4,tc3,tc3,tc2,tc2,tc4",3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ER,2025nyro,qm,9,b1,1405,0,0,0,0,0,0,1,"0.1,0.4,9.1,8.9,11.8,8.5,11.5,6.5,11.6","tc3,tc3,tc3,tc3,tc3,tc2,tc2,tc4,tc4",2,5,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,attempted l4auto and missed
CD,2025nyro,qm,9,r2,1507,1,0,0,0,0,0,1,"6.9,10,9.8,20.3,18.5,15.6,8,7.5,12.3","tc4,tc4,tc4,tc4,tc3,tc3,tc2,tc2,tc4",5,2,2,0,0,0,0,0,1,3,0,0,0,1,0,0,0
jp,2025nyro,qm,9,r1,1308,0,0,0,0,0,0,1,"23.4,53.9,31.6,16.9","tap,tap,tap,tap",0,0,0,0,4,0,4,1,0,1,0,0,0,0,0,0,0,picks up algae from ground
RV,2025nyro,qm,9,b2,4611,2,0,0,0,0,0,0,"16.1,9.2,27.6,11.8,7.8,13.5,9.6,16.6","tc4,tc4,tc3,tc2,tc2,tc4,tap,tc2",3,1,3,0,1,0,1,0,1,2,0,1,0,0,0,0,0
JS,2025nyro,qm,10,b2,1518,0,0,0,0,0,0,1,"0.1,55.5","tc4,tan",1,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0
DD,2025nyro,qm,10,r2,3171,0,0,0,0,0,0,0,"8.3,20.8,15.1,28.5,13.6,17","tc4,tc4,tc4,tc1,tc3,tc3",3,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
eg,2025nyro,qm,10,b3,3181,1,0,0,0,0,0,1,,{},0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
