Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Start Location,Auto Amp Scores,Auto Scoring Locations,Auto Pickup Locations,Cycle Timer,Teleop Scoring Locations,Teleop Missing Locations,Teleop Amp Scores,Pickup From Floor,Pickup From Source,Played Defense,Died,Tippy,Dropped Notes,Yellow Card,Egregiously Bad Event,Comment,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,12,r1,5528,24,0,"94,93","6,3",33.9,93,94,0,1,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,12,b1,1507,13,0,"74,100,52","4,7","10.1,99.2","50,50",,0,1,0,0,0,0,0,0,0,mostly delivered notes to partners,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,12,b2,533,1,0,25,,0.1,145,,0,0,0,0,1,0,0,0,0,got stuck on chain(presumably),,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,12,r3,191,24,0,,"3,2,5","16,78.9,13.3","95,115,91","68,92",0,0,0,0,0,0,0,0,0,ñuracy bad,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,13,b2,229,49,0,,,,,,0,0,0,1,0,0,0,0,0,drivebase,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,13,r2,639,36,0,,,,,,0,0,0,1,0,0,0,0,0,"took 45 sec to climb, and still dkdnt",,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,13,r1,4991,12,2,68,,,,,0,1,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,13,b1,1591,13,0,"74,102,76","4,2,5","15.7,10.1,14.5,12.1,12.7,3.9,11.2,12.3,16.4","101,101,101,102,100,76,76,101,78",101,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,13,b3,3003,37,0,171,,"7.1,10.3,65.7,31.9","75,123,123,99","148,148,148,122",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,13,r3,1450,24,0,,,,,,0,0,0,0,0,0,0,0,1,they damaged shooter,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,14,b1,6911,13,0,74,,,,,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,14,r1,1559,24,0,,,"37.8,35.1","115,140",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,14,r2,4930,48,0,,,52.3,a,,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,14,b3,3117,25,0,146,,"12.8,2.4,35.3,2.3,22.8","27,a,27,a,74",,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,14,r3,3181,36,0,"118,139","9,11","0.1,16.2,6.3,20.6,22,3.8,29","116,68,68,93,a,92,a",,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,14,b2,378,13,0,49,,"29.6,35,10.9","74,98,98",,0,1,0,0,0,0,0,0,0,plez magic number men make the images flip,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,15,b3,334,49,0,,,11.7,74,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,15,b2,6868,25,0,98,,114.2,98,"98,98,97,97,98",0,1,0,0,0,0,0,0,0,always a little short,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,15,b1,2228,13,0,"50,74,74","7,1","10,7,30.2,27.1,16.3","a,a,75,75,98",,2,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,15,r2,4458,48,0,"189,204,132,235,211",,"9.2,9.6,42,11.8,25.3","95,94,41,91,91","228,276,250",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,15,r1,27,12,0,"93,117",2,"29.8,5.6,14.8,5.5,5,47","a,a,a,94,141,212",64,3,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,15,r3,8595,24,0,118,,0.1,116,,0,0,0,1,0,0,0,0,0,cycles not accurate forgot start,,,,,,,,,,,,,,,,,,,,,,
jp,2024nyro,qm,16,r3,3799,12,0,,,"16,80.8,15.3","94,118,71",,0,1,0,0,0,0,0,0,0,slow and in the way of friends,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,16,b1,3044,13,0,,,"37.1,12.6,7.5,9.4,21.5,28.6","74,74,50,75,74,a",74,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,16,r2,3015,36,0,"118,235",11,"5.1,29.9,9.5,8.3,8.7,9.9,15.2,8.6,16.2","a,93,116,92,116,116,139,115,117",189,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,16,r1,1405,48,0,143,,,,,0,0,0,0,1,0,0,0,0,dead whole match,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,16,b3,6621,13,0,98,,10.8,a,,1,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
