Scouter Name,Event,Match Level,Match #,Robot,Team #,Auto Start Location,Auto Amp Scores,Auto Scoring Locations,Auto Pickup Locations,Cycle Timer,Teleop Scoring Locations,Teleop Missing Locations,Teleop Amp Scores,Pickup From Floor,Pickup From Source,Played Defense,Died,Tippy,Dropped Notes,Yellow Card,Egregiously Bad Event,Comment,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,49,r1,1468,36,0,"96,118,118,95","3,9,6","4.8,12.3,25,8.1,11.3,45.5","94,a,94,94,95,118",118,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,49,b3,1507,25,0,"51,51,51","1,2","33.6,34.6,19.5,22.3","a,75,99,76",,1,1,1,0,0,0,1,0,0,ok but dropped like 2 notes an takes a bit to intake,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,50,b1,378,13,0,26,,67.4,76,"98,98",0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,50,r3,3193,12,0,,,"13.5,32,24.5,12.2,18.4,16.6","118,118,118,118,118,118",,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,50,r2,694,48,0,141,14,"8.8,6.5,15.6,33.3,16.5,16.9,18.1","a,a,a,a,a,116,116",140,5,1,0,0,0,0,0,0,0,scored in trap,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,50,b2,6353,49,0,0,,,,,0,0,1,0,0,0,0,0,1,robots drivetrain ha problems,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,50,r1,2228,36,0,119,9,"9.6,46.6,19.7","95,a,119",,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,50,b3,1511,1,0,75,,"8.2,15.5,9.9,18.8,31.2,30.1","a,a,a,75,a,76","52,75",4,1,0,0,0,0,0,0,0,"okay, scores in amp good",,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,51,r1,1559,12,0,,,51.5,208,"188,164,165,165,141",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,51,b3,639,25,0,146,,62.2,a,,1,0,0,0,0,0,0,0,0,was having trouble lining up for amp entre match,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,51,b2,8145,25,0,121,,"16.9,7.4,25.7","52,52,123",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,51,b1,2340,25,0,98,,"54,22.4","122,98",98,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,51,r2,8595,36,0,118,3,"0.1,10.4,22.8,7.9","119,71,94,118",,0,1,0,0,0,0,0,0,1,robot was disabled with 45 secs left,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,51,r3,271,60,0,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,52,b1,1126,25,0,99,"4,2","8.9,23.6,6.9,29.4,9.8,19.9","146,a,a,99,99,49",122,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,52,r2,340,48,0,"142,143",14,"0.1,12.9,14,14.4,16","116,116,117,116,117",117,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,52,r1,3951,24,0,,,,,"118,95",0,0,0,0,1,0,0,0,1,e stopped?,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,52,b3,3044,13,0,49,,,,,0,0,0,1,0,0,0,0,0,looks like they failed their auto,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,52,b2,3181,25,0,"121,76","4,14","13.5,17.9,27.4,15.2,29.4,7.2,8.3","147,75,124,76,123,75,122",,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,52,r3,424,24,0,,6,"6.4,9.1,7.5,20.3,6.1,13.9,8.7,21.6,17.2","a,a,a,a,a,71,70,71,a",,6,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
sl,2024nyro,qm,53,r2,7903,,0,,,,,,0,0,0,0,0,0,0,0,0,no show,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,53,b3,4991,13,0,,,"19.6,8.9,7.3,22.5,50.9","a,a,a,a,a",,5,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,53,b2,3838,13,0,"74,74","7,4",31.2,99,,0,0,0,0,0,0,0,0,1,com issues fast blinking light,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,53,r1,6621,12,0,,,"18.2,15.7,51.1,34.2,13.9","a,a,a,94,118",,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,53,b1,3117,37,0,,,"36.9,27.3,5.7,13.8","74,98,98,99",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,53,r3,3799,36,0,119,,"10.7,2.7,16.3,5.5,21,7,6.6,22.6,14.8,21.9","94,94,94,118,a,94,93,94,70,94",,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,54,b3,191,49,0,,,"36.3,20.9,8.8,17,24.3,11.7","74,74,75,75,74,75",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,54,b1,4930,37,0,,,29.6,a,,1,0,0,0,0,0,0,0,0,it's so jover,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,54,b2,3173,13,0,,,"13,16.4,18,22.7,16.9,10.8,15.6,1.4,7.1","a,75,a,a,76,a,76,99,76",,4,1,0,0,0,0,0,0,0,auto reply bad,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,54,r1,533,36,0,,,"7.6,62.7","a,a",,2,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,54,r3,870,36,0,"142,140,92","9,6","14.9,6.7,12.1","117,118,116","139,142,91,115,140",0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,54,r2,27,48,0,"72,43","2,3","31.4,28.1,15.3,21.9,35.3","140,161,138,139,164","115,162,161",0,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,55,b2,578,13,0,"74,98",4,"16.3,47.8,31.2,19.4","a,a,a,99",99,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,55,b1,229,1,0,,,,,,0,0,0,1,0,0,0,0,0,it's a drivebase,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,55,r1,5740,12,0,72,,"18.8,16.1,15.7,11.8,17.1,18.6","118,118,95,118,118,118",,0,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,55,r2,1507,24,0,"118,67","6,2","8.7,13,36.8,10.3,20.3,59.1","118,118,93,118,94,118",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mc,2024nyro,qm,55,r3,1405,36,0,167,,"9.2,28.5,19.7,20.1,13.7,18.1,15.6","a,a,a,71,a,a,71",,5,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,56,b3,2228,25,0,146,,"0.1,0.3,0.5,0.4,0.5","74,73,74,74,74",,0,0,0,0,0,0,0,0,0,"form cleared, ignore cycle times",,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,57,b3,1559,25,0,,,,,"27,27",0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,56,r2,3193,36,0,143,,"30.6,21,40.3,30.5","a,117,118,93",,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,56,r3,7036,36,0,"98,98",4,"23.9,8.7,40.5,14.2,14.1,14.3","74,74,98,73,74,98",74,0,1,0,0,0,0,0,0,0,prettygood,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,56,b2,1308,37,0,288,,,,0,0,1,0,1,1,0,0,0,0,tried an failed to amp for 1 minute (died In endgame),,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,56,b1,1450,25,0,,,62.4,75,100,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,56,r1,7709,24,0,"119,119",6,"11.4,19.8,17.5,21.2,15.8,14.2,14.5,14.4","94,118,119,95,119,119,118,118",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,57,b2,2340,37,0,121,,"22.4,24.8,35","98,98,74",74,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,57,b1,1585,13,0,,,9.2,98,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,57,r3,4458,24,0,"94,93",3,"9.4,9.6,29.4,33.9,6.6,14.3","94,94,93,94,94,94","93,117",0,1,0,0,0,0,0,0,0,really good at scoring,,,,,,,,,,,,,,,,,,,,,,
lg,2024nyro,qm,57,r2,5528,12,0,96,,"20.7,75.5","94,118",,0,1,0,0,0,0,0,0,0,lw,2024nyro,qm,57,b3,1559,13,0,,,,,197,0,1,0,0,0,0,0,0,0,","
les,2024nyro,qm,57,r1,694,48,0,119,14,"2.2,14.2,3.5,5.3,5.8,17.3,13.3,12.4,14.1,8.5","a,a,118,94,119,a,118,118,a,a",70,5,1,0,0,0,0,0,0,0,are still forgetting that they are too tall to go under the stage,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,57,b3,1559,13,0,,,,,197,0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,58,r2,6300,36,0,166,,"12.6,18.2,23.4,14.7,27.6,12.8","142,95,118,119,118,118",,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,58,b3,340,25,0,"122,149,222","7,14","5.1,11.6,20.8,16.8,16.9","172,77,77,77,78",,0,1,0,0,0,0,0,0,0,",",,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,58,b2,1591,1,0,,4,"3.8,13.4,44.4,9.7,6.7,6,20.2,19.9,4.2","a,74,a,a,100,77,101,99,99",,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,58,r3,3015,24,0,"70,69,108,117,93","2,5,8","14.7,8.1","118,94",,0,1,0,0,0,0,0,0,0,got note stuck in gooter,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,58,r1,271,60,0,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,58,b1,378,13,0,,,7.7,74,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,59,r2,4093,60,0,,,13.1,142,,0,0,1,0,1,0,0,0,1,battery fell out at the slightest bump,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,59,r3,3799,24,0,,,"0.1,13.3,29.5,17.3,21.4,5.5,6,6.4,5.9,5.8","a,a,94,a,118,118,118,118,118,118",,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,59,b3,3181,25,0,"123,75,147","7,11","7.3,12.2,14.7,18.6,17.5,18.4","123,98,99,51,74,98",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,59,r1,3838,24,0,"118,94","6,3",,,"275,251,205,251,247,227,227,227,227,248,224",0,1,0,0,0,0,0,0,0,"ferrye nos, wa able to be pushed easy.y",,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,59,b2,424,13,0,98,"4,5","7.5,10.4,10,20.2,18.8,19.9,27,17.9","a,a,a,98,a,a,a,98",,6,0,0,0,0,0,0,0,0,pretty good at amp and speaker,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,59,b1,639,13,0,26,,"22.2,15.3,24.8,20.1","75,75,99,99",,0,1,0,0,0,0,0,0,0,bad driver,,,,,,,,,,,,,,,,,,,,,,
if,2024nyro,qm,60,r2,6868,36,0,98,,"28.1,6,15.6,26.3,16.4","98,98,98,98,98",98,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,60,r1,3173,24,0,"119,118,118","6,5","14.8,5.6,14.4,20.8,21.2,19.4,15.5,13.5,6","a,a,a,118,a,94,a,a,69",210,6,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,60,b2,4930,25,0,,,"8.3,18.7,31.6,35.2,38.5","a,a,a,a,a",,5,1,0,0,0,0,0,0,0,kinda good at amp but a little slow,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,60,r3,3951,36,0,119,9,"47.8,18.4","94,a","119,94",1,1,0,0,0,0,0,0,0,driver bad and did nothing seconds haf,,,,,,,,,,,,,,,,,,,,,,
ZS,2024nyro,qm,60,b3,4991,1,0,,,12.2,a,,1,1,0,0,1,0,1,0,0,seemed to often get notes stuck on the drivebase,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,60,b1,3003,25,0,,,"26.8,17.8,26.6,42.7","98,147,98,100","172,148,99,101,100",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,61,r1,564,24,0,"94,94",6,"27.3,56.1,40","a,94,142","118,119",1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,61,b3,8145,13,0,75,4,,,"98,98",0,1,0,1,0,0,1,0,0,spinning ,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,61,r3,6353,60,0,,,126.3,118,"93,93",0,0,0,0,0,0,0,0,1,bad at everything driver bad,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,61,r2,3117,36,0,167,9,,,,0,0,0,1,0,0,0,0,0,mid defense,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,61,b2,27,1,0,"74,53,52","2,5","21.9,6.8,18.6,14.2,11.6,10.3,12.2,3.7","a,a,76,76,53,52,77,53",,2,1,0,0,0,0,0,0,0,doesn miss,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,61,b1,6911,25,0,122,7,"11.9,5.2,15.3","123,98,75",,0,1,0,0,0,0,0,0,0,note got stuck in the robot ,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,62,r1,6621,48,0,,9,,,,0,1,0,1,0,0,0,0,0,passing,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,62,b2,8595,25,0,98,"4,7","7.6,7.1,7.5,5.9,9,7.1","74,74,98,98,122,99","98,98,97",0,1,0,0,0,0,0,0,0,pretty good but missed a good amount,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,62,b1,191,25,0,,,18.5,a,,1,1,0,0,0,0,0,0,0,the shooter stopped working ,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,62,r2,1126,24,0,"118,92",6,"18.3,8.3,10.9,29.8,18.6,45.7","a,a,166,94,118,a","94,94,93,94",3,1,0,0,0,0,0,0,0,aim wasn't great I dnt thin they let it spin ,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,63,b3,1468,25,0,"51,75",1,"0.1,13.1,26.7,11.6,29.2,14.1,17.4","74,76,99,74,74,74,74","50,98,74",0,1,0,0,0,0,0,0,0,"good control, cool LED",,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,63,b2,870,13,0,"74,78","8,5","9.2,32.1,30.1","a,98,74","76,76",1,1,0,0,0,0,0,0,0,"did trap, good but had permanent defense on them",,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,63,r3,1511,12,0,71,3,22.2,a,,1,1,0,1,0,0,0,0,0,driver bat,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,63,r2,3044,48,0,167,14,"10.6,13.4,16.1,13.4,20.8","119,118,143,94,119","142,143,118,118",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,63,r1,334,36,0,"95,118,118","6,9",,,,0,0,0,1,0,0,0,0,0,"ast note in auto got stuck in bot, dead wheel, ",,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,64,r1,7036,36,0,,,,,,0,0,0,0,1,0,0,0,0,dead whole game,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,64,b3,5740,13,0,74,1,"23.8,16.6,11.6,14,16.5","124,101,101,125,125",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
hw,2024nyro,qm,64,r3,3015,36,0,"117,42",3,"9.1,0.7,14.7,20.3,2.3,10.9,23.8,13.1","a,a,a,93,93,a,a,117",,5,1,0,0,0,0,0,0,0,trap good b9t,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,64,b2,694,37,0,75,"2,5","6.7,5.1,14.9,14,11.4,16.2,14.7,11.2","a,a,a,99,a,a,75,a",,6,1,0,0,0,0,0,0,0,really great amp scoring and and can do trap,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,64,r2,1559,36,0,143,,"12.4,60.6,23.3","188,141,116","142,94,94,117,141",0,1,0,0,0,0,0,0,0,shooter was shooting under the speaker ,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,64,b1,6300,25,0,98,,"14.4,17.5,13.8,11.7,13,12.3,17.8,10.8,11.9","74,98,98,74,98,74,74,74,74",,0,0,1,0,0,0,0,0,0,very consistint,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,65,b1,3799,13,0,,,"11.9,15.8,20.4,16.1,20.3,20.3,21.1","a,a,a,75,a,a,98",121,5,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,65,r3,7709,36,0,"111,119","8,14","49.8,45.2","a,a",119,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,65,b3,1507,13,0,75,"4,11","6.4,21,21.7,13.7,40.1,30.5","98,98,98,98,74,98",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,65,r1,2340,24,0,71,,"78.8,46","118,94",119,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,65,b2,3181,25,0,"74,99","1,4,5","15.2,25.2,17.8,14.2,27.6","74,75,98,75,74",,0,1,0,0,0,0,0,0,0,kinda good but not very resistant todefense,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,65,r2,1591,36,0,"71,118","6,3","3.5,11.4,34.7,28.9,13.8","118,a,a,188,a",94,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,66,b1,4991,1,0,,,"0.1,25.1,12.2,10.7","a,a,74,a",,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,66,b2,3951,13,0,74,4,"29.5,38.5","74,a","75,49",1,1,0,0,0,0,0,0,0,kinda mi and slow- takes a while to shoot and misses a lot,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,66,r2,578,24,0,"94,118,94,118","9,6,3","28.8,18.8,30,27.1,6.8,9.7,9.3","119,118,94,118,118,94,94","118,118",0,1,0,0,0,0,0,0,0,one of the misses were 2 robots shooting at the same time,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,66,b3,120,48,0,,,18.9,144,,0,0,1,0,0,0,0,0,0,passed 4,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,67,r1,1450,48,0,,,,,,0,1,0,1,1,1,0,0,0,put on naughty list,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,67,b1,3173,1,0,"49,49,54,76","1,2,4","11.7,5.6,37.4,5.5,3.8,12.7,12.7,9.6,4,21.4,5.3","a,a,26,a,123,a,99,100,100,99,100","100,100",4,0,0,0,0,0,0,0,0,"the best team, did some relays",,,,,,,,,,,,,,,,,,,,,,
lw,2024nyro,qm,67,b3,6353,25,0,,,,,,0,0,0,0,1,1,1,0,0,drop bumpers ,,,,,,,,,,,,,,,,,,,,,,
eg,2024nyro,qm,67,r2,1585,12,0,,,,,94,0,0,1,0,0,0,0,0,0,was passing (only like 3 notes),,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,67,r3,3838,36,0,94,,"10.7,26.8,28.5,5.1,18,24.9,15.6","94,94,94,94,94,94,94",94,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ls,2024nyro,qm,67,b2,1308,13,0,75,,"14.6,20.8","75,99",74,0,1,0,0,0,0,0,0,0,midnt that good,,,,,,,,,,,,,,,,,,,,,,
bo,2024nyro,qm,68,b1,5528,13,0,98,1,"8.1,25.3,19,8.4,28,26.9","74,98,98,98,98,98","98,99",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,68,r1,1126,36,0,"95,93",6,"9.1,7.4,12.2,33.3,28.3","a,a,a,a,a",,5,1,0,1,0,0,0,0,0,failed harmony,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,68,b3,6621,37,0,,,"14.6,80,17.7","a,a,73",123,2,1,0,0,0,0,0,0,0,was passing over the stage,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,68,r3,3003,60,0,191,,"25.5,4.7,25.3,22.3,3.9,8.9,16.2,16.5","92,92,117,93,93,117,93,117",,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,69,r1,7903,60,0,,,,,,0,0,0,0,1,0,0,0,0,"deadwheel, could BARELY move entre match",,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,69,r2,334,36,0,119,,"2,6.1,5.2,6.2,9,24.4,42.1","122,98,98,98,98,98,99","98,74",0,1,0,0,0,0,0,0,0,very tall,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,69,b3,533,13,0,"94,118",6,"20.9,14.2,42.8,26.3,30.2","143,167,71,71,71","168,168",0,1,0,0,0,0,0,0,0,take a while to line up,,,,,,,,,,,,,,,,,,,,,,
sl,2024nyro,qm,69,b2,340,12,0,"165,91","9,14","1.1,3.5,17.5,22.3,12.8,14.9","99,101,101,125,100,101",,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,69,r3,6911,12,0,68,,"0.1,51,14.5,14.9,18.9","118,93,70,166,117","117,69,117",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,69,b1,8145,1,0,,,"17.5,22.1,41.3,31.7","98,99,74,74",,0,1,0,0,0,0,0,0,0,ok driver,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,70,r1,191,12,0,144,"2,5",,,"34,35,35,35",0,1,0,0,0,0,0,0,0,notes modded an hit 1468 driver I the,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,70,r2,1511,24,0,143,,"2.6,9.6,15.7,10.1,17.4,15.5,33","a,a,118,a,119,a,a",143,5,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ED,2024nyro,qm,70,r3,1468,24,0,94,3,"0.1,12.4,8.7,12.6,18.1,18.3,4.9","a,93,a,94,69,a,94","166,117",3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
sl,2024nyro,qm,70,b2,639,1,0,74,,11.7,98,,0,1,0,1,0,0,0,0,0,note stuck,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,70,b1,3117,13,0,"75,74",4,"17.2,11.5,33.6,31.1","a,a,a,98",98,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,70,b3,6868,25,0,,,"26.5,4.9,34.5,14.3,15.2,15.5,17","98,98,98,74,97,97,98",,0,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,71,r2,564,36,0,,,"12.1,18.5,28.1,21.8,21","95,a,119,a,119",95,2,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
sl,2024nyro,qm,71,b2,1405,13,0,"98,98","4,7","2.7,3,14.5,30.8,18.9,14.8,14.7,16.8","99,a,a,98,a,a,122,a",,5,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,71,b1,8595,13,0,50,,,,,0,1,0,0,0,0,0,0,0,kind of ok at pissing ,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,71,b3,870,25,0,"145,78,102","8,5","11.6,6.7,9.7,14.6,13.4,6.1,19.5","98,98,98,98,98,98,97",75,0,1,0,0,0,0,0,0,0,possible that I missed an amp but they seem pass capable,,,,,,,,,,,,,,,,,,,,,,
ED,2024nyro,qm,71,r3,378,12,0,,,"0.1,10","94,94",,0,1,0,1,0,0,0,0,0,gave up scoring halfway thru match,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,71,r1,4458,24,0,"118,118",6,"10.1,15.3,38,10.3,11.7,31.6,9.2","a,a,69,117,a,117,117","275,226",3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,72,r1,1518,12,0,,,"15.1,22.6,32.1,28","a,a,94,94",,2,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
les,2024nyro,qm,72,b3,3044,25,0,121,14,"5.6,8.8,13.2,48.8,33.8","121,145,49,122,121","99,98",0,1,0,0,0,0,0,0,0,climbed,,,,,,,,,,,,,,,,,,,,,,
ED,2024nyro,qm,72,r3,2228,24,0,"94,94",6,"0.1,22,20.5,18.4,19.5","94,118,118,94,a",,1,0,1,0,0,0,0,0,0,scored in amp,,,,,,,,,,,,,,,,,,,,,,
JL,2024nyro,qm,72,b1,4930,1,1,,,"9.1,7.4,12.8,23.2,21.4,15.5,23.9","a,a,a,a,a,a,a",,7,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,72,r2,229,,0,,,,,,0,0,0,1,0,0,0,0,0,they're just a drive base,,,,,,,,,,,,,,,,,,,,,,
sl,2024nyro,qm,72,b2,424,13,0,"98,98","7,1","63.6,20,31","a,73,a",,2,1,0,1,1,0,0,0,0,was immobile 2 times around ten sec each,,,,,,,,,,,,,,,,,,,,,,
mg,2024nyro,qm,73,r1,4991,12,2,,3,"13.8,23.9,24.6,48.5","a,a,a,a",,4,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
nv,2024nyro,qm,73,r2,3193,36,0,"118,71",6,"2.5,3.9,8.8,15.9,17.4,16.7,14.4,10,29","94,119,119,119,118,94,119,118,94",,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
